"구별","구분별","항목","단위","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월",
"합계","총전입(①+②+④)","계","","114415","141936","151617","117475","112967","104704","111646","125161","110490","107123","108106","112547","100675","142156","122917","95228","104657","91205","90743","103288","86938","85408","85979","92333","91225","126733","116723","89745","99323","90971","94517","111712","93071","100287","93060","99596",
"합계","총전입(①+②+④)","남자","","56133","68708","73389","57226","55230","51451","54672","61471","54242","52665","52962","55214","49146","68567","59571","46905","51306","44911","44713","50687","42998","42068","42448","45463","44685","61461","57191","43923","48492","44937","46805","54586","45755","49319","45851","48461",
"합계","총전입(①+②+④)","여자","","58282","73228","78228","60249","57737","53253","56974","63690","56248","54458","55144","57333","51529","73589","63346","48323","53351","46294","46030","52601","43940","43340","43531","46870","46540","65272","59532","45822","50831","46034","47712","57126","47316","50968","47209","51135",
"합계","총전출(①+③+⑤)","계","","124855","151351","157833","127213","121276","112992","120075","133278","118609","116512","118660","121776","103083","138891","123192","99394","107739","93015","92319","104172","91087","91844","92384","99747","94248","123266","117601","93110","102676","95204","97209","112732","94441","105014","99299","103413",
"합계","총전출(①+③+⑤)","남자","","61625","74167","77842","62745","59886","56064","58936","65699","58688","57805","58548","60080","50745","67784","60585","49454","53392","46222","45678","51537","45354","45331","45500","49408","46468","60560","58369","46308","50801","47456","48277","55663","46738","52056","49063","50627",
"합계","총전출(①+③+⑤)","여자","","63230","77184","79991","64468","61390","56928","61139","67579","59921","58707","60112","61696","52338","71107","62607","49940","54347","46793","46641","52635","45733","46513","46884","50339","47780","62706","59232","46802","51875","47748","48932","57069","47703","52958","50236","52786",
"합계","구내이동(①)","계","","29163","35537","39721","33541","33278","29132","30622","33818","30274","31984","31122","29224","23554","31517","30061","25632","28416","23625","23100","25086","22492","23697","22810","22815","19465","25653","27105","22778","26188","23389","23724","27466","24358","27920","24676","25529",
"합계","구내이동(①)","남자","","14211","17071","19254","16176","16153","14276","14737","16392","14693","15481","15066","14141","11409","15128","14487","12567","13882","11379","11218","12057","10776","11488","11086","11131","9488","12357","13066","11014","12681","11398","11585","13260","11819","13550","12034","12356",
"합계","구내이동(①)","여자","","14952","18466","20467","17365","17125","14856","15885","17426","15581","16503","16056","15083","12145","16389","15574","13065","14534","12246","11882","13029","11716","12209","11724","11684","9977","13296","14039","11764","13507","11991","12139","14206","12539","14370","12642","13173",
"합계","전입(④)","계","","39144","47984","52216","36371","34265","33918","36403","40193","36644","32171","33619","38195","37935","55283","46005","32079","35383","32439","33107","38618","30183","27359","29637","32548","36753","52937","45215","31377","34048","31919","32947","38841","30930","31371","30087","33734",
"합계","전입(④)","남자","","19485","23397","25092","17891","17000","16889","18245","20117","18324","15878","16702","19098","18709","26912","22489","15997","17418","16328","16739","19291","15238","13841","15076","16404","18405","25960","22459","15646","16849","16010","16666","19166","15467","15695","15226","16680",
"합계","전입(④)","여자","","19659","24587","27124","18480","17265","17029","18158","20076","18320","16293","16917","19097","19226","28371","23516","16082","17965","16111","16368","19327","14945","13518","14561","16144","18348","26977","22756","15731","17199","15909","16281","19675","15463","15676","14861","17054",
"합계","전출(⑤)","계","","49584","57399","58432","46109","42574","42206","44832","48310","44763","41560","44173","47424","40343","52018","46280","36245","38465","34249","34683","39502","34332","33795","36042","39962","39776","49470","46093","34742","37401","36152","35639","39861","32300","36098","36326","37551",
"합계","전출(⑤)","남자","","24977","28856","29545","23410","21656","21502","22509","24345","22770","21018","22288","23964","20308","26129","23503","18546","19504","17639","17704","20141","17594","17104","18128","20349","20188","25059","23637","18031","19158","18529","18138","20243","16450","18432","18438","18846",
"합계","전출(⑤)","여자","","24607","28543","28887","22699","20918","20704","22323","23965","21993","20542","21885","23460","20035","25889","22777","17699","18961","16610","16979","19361","16738","16691","17914","19613","19588","24411","22456","16711","18243","17623","17501","19618","15850","17666","17888","18705",
"합계","순이동","계","","-10440","-9415","-6216","-9738","-8309","-8288","-8429","-8117","-8119","-9389","-10554","-9229","-2408","3265","-275","-4166","-3082","-1810","-1576","-884","-4149","-6436","-6405","-7414","-3023","3467","-878","-3365","-3353","-4233","-2692","-1020","-1370","-4727","-6239","-3817",
